0,1,2
396,2,1109
397,2,1123
398,2,1128
399,2,1150
400,2,1168
401,2,1194
402,2,1211
403,2,1223
404,2,1227
405,2,1236
406,2,1254
407,2,1261
408,2,1273
409,2,1298
410,2,1354
411,2,1379
412,2,1397
413,2,1424
414,2,1430
415,2,1433
416,2,1460
417,2,1466
418,2,1472
419,2,1483
420,2,1487
421,2,1500
422,2,1512
423,2,1516
424,2,1533
425,2,1537
426,2,1572
427,2,1582
428,2,1588
429,2,1604
430,2,1607
431,2,1651
432,2,1657
433,2,1659
434,2,1675
435,2,1689
436,2,1704
437,2,1728
438,2,1756
439,2,1776
440,2,1820
441,2,1821
442,2,1837
443,2,1842
444,2,1882
445,2,1891
446,2,1927
447,2,1929
448,2,1932
449,2,1934
450,2,1940
451,2,1943
452,2,1945
453,2,1950
454,2,1978
455,2,1979
456,2,2001
457,2,2007
458,2,2012
459,2,2044
460,2,2045
461,2,2052
462,2,2069
463,2,2072
464,2,2073
465,2,2076
466,2,2095
467,2,2102
468,2,2112
469,2,2113
470,2,2114
471,2,2116
472,2,2121
473,2,2123
474,2,2182
475,2,2183
476,2,2194
477,2,2215
478,2,2227
479,2,2244
480,2,2248
481,2,2255
482,2,2258
483,2,2267
484,2,2281
485,2,2299
486,2,2306
487,2,2309
488,2,2344
489,2,2372
490,2,2381
491,2,2401
492,2,2416
493,2,2430
494,2,2451
495,2,2510
496,2,2517
497,2,2520
498,2,2525
499,2,2545
500,2,2548
501,2,2553
502,2,2562
503,2,2575
504,2,2576
505,2,2587
506,2,2603
507,2,2610
508,2,2647
509,2,2677
510,2,2690
511,2,2742
512,2,2744
513,2,2748
514,2,2807
515,2,2812
516,2,2827
517,2,2840
518,2,2845
519,2,2865
520,2,2872
521,2,2876
522,2,2881
523,2,2956
524,2,3029
525,2,3043
526,2,3059
527,2,3064
528,2,3124
529,2,3145
530,2,3168
531,2,3173
532,2,3177
533,2,3194
534,2,3204
535,2,3270
536,2,3297
537,2,3305
538,2,3333
539,2,3343
540,2,3349
541,2,3351
542,2,3375
543,2,3386
544,2,3396
545,2,3439
546,2,3467
547,2,3488
548,2,3498
549,2,3507
550,2,3513
551,2,3519
552,2,3529
553,2,3541
554,2,3555
555,2,3559
556,2,3566
557,2,3580
558,2,3583
559,2,3597
560,2,3602
561,2,3604
562,2,3639
563,2,3670
564,2,3691
565,2,3716
566,2,3718
567,2,3720
568,2,3750
569,2,3755
570,2,3771
571,2,3776
572,2,3800
573,2,3804
574,2,3805
575,2,3806
576,2,3811
577,2,3816
578,2,3840
579,2,3849
580,2,3856
581,2,3873
582,2,3943
583,2,3945
584,2,3953
585,2,3970
586,2,3996
587,2,4005
588,2,4010
589,2,4033
590,2,4104
591,2,4105
592,2,4113
593,2,4120
594,2,4172
595,2,4178
596,2,4185
597,2,4208
598,2,4214
599,2,4235
600,2,4246
601,2,4262
602,2,4265
603,2,4284
604,2,4297
605,2,4310
606,2,4376
607,2,4383
608,2,4394
609,2,4405
610,2,4415
611,2,4423
612,2,4433
613,2,4448
614,2,4464
615,2,4470
616,2,4473
617,2,4484
618,2,4488
619,2,4498
620,2,4507
621,2,4514
622,2,4522
623,2,4525
624,2,4544
625,2,4547
626,2,4554
627,2,4576
628,2,4594
629,2,4596
630,2,4620
631,2,4649
632,2,4657
633,2,4723
634,2,4770
635,2,4794
636,2,4846
637,2,4851
638,2,4855
639,2,4857
640,2,4863
641,2,4874
642,2,4877
643,2,4892
644,2,4894
645,2,4903
646,2,4953
647,2,4977
648,2,4983
649,2,5000
650,2,5004
651,2,5015
652,2,5020
653,2,5028
654,2,5054
655,2,5060
656,2,5064
657,2,5077
658,2,5079
659,2,5098
660,2,5152
661,2,5182
662,2,5201
663,2,5207
664,2,5214
665,2,5217
666,2,5234
667,2,5240
668,2,5241
669,2,5247
670,2,5289
671,2,5297
672,2,5320
673,2,5329
674,2,5354
675,2,5362
676,2,5364
677,2,5466
678,2,5497
679,2,5538
680,2,5587
681,2,5596
682,2,5604
683,2,5606
684,2,5610
685,2,5645
686,2,5674
687,2,5683
688,2,5691
689,2,5711
690,2,5766
691,2,5777
692,2,5810
693,2,5826
694,2,5829
695,2,5861
696,2,5919
697,2,5928
698,2,5932
699,2,5936
700,2,5959
701,2,5977
702,2,5994
703,2,6004
704,2,6094
705,2,6150
706,2,6151
707,2,6167
708,2,6188
709,2,6194
710,2,6222
711,2,6258
712,2,6262
713,2,6283
714,2,6299
715,2,6311
716,2,6318
717,2,6322
718,2,6335
719,2,6343
720,2,6363
721,2,6369
722,2,6382
723,2,6393
724,2,6404
725,2,6411
726,2,6414
727,2,6434
728,2,6438
729,2,6440
730,2,6449
731,2,6453
732,2,6455
733,2,6466
734,2,6469
735,2,6560
736,2,6587
737,2,6642
738,2,6644
739,2,6649
740,2,6674
741,2,6706
742,2,6742
743,2,6743
744,2,6753
745,2,6774
746,2,6797
747,2,6808
748,2,6815
749,2,6820
750,2,6859
751,2,6871
752,2,6873
753,2,6922
754,2,6926
755,2,6936
756,2,6954
757,2,6955
758,2,6957
759,2,6961
760,2,6996
761,2,6997
762,2,7025
763,2,7046
764,2,7049
765,2,7055
766,2,7059
767,2,7060
768,2,7066
769,2,7076
770,2,7097
771,2,7106
772,2,7148
773,2,7156
774,2,7159
775,2,7178
776,2,7192
777,2,7208
778,2,7214
779,2,7237
780,2,7279
781,2,7293
782,2,7311
783,2,7314
784,2,7319
785,2,7327
786,2,7331
787,2,7332
788,2,7334
789,2,7336
790,2,7343
791,2,7389
792,2,7404
793,2,7412
794,2,7427
795,2,7443
796,2,7444
797,2,7461
798,2,7532
799,2,7545
800,2,7548
801,2,7549
802,2,7551
803,2,7573
804,2,7574
805,2,7595
806,2,7606
807,2,7608
808,2,7635
809,2,7636
810,2,7660
811,2,7712
812,2,7718
813,2,7728
814,2,7736
815,2,7756
816,2,7757
817,2,7784
818,2,7806
819,2,7835
820,2,7848
821,2,7858
822,2,7874
823,2,7889
824,2,7892
825,2,7909
826,2,7929
827,2,7957
828,2,7961
829,2,7997
830,2,8015
831,2,8028
832,2,8035
833,2,8090
834,2,8095
835,2,8140
836,2,8143
837,2,8144
838,2,8156
839,2,8167
840,2,8180
841,2,8205
842,2,8218
843,2,8265
844,2,8266
845,2,8287
846,2,8291
847,2,8304
848,2,8305
849,2,8309
850,2,8315
851,2,8317
852,2,8330
853,2,8339
854,2,8346
855,2,8352
856,2,8353
857,2,8371
858,2,8386
859,2,8410
860,2,8432
861,2,8438
862,2,8439
863,2,8452
864,2,8460
865,2,8520
866,2,8543
867,2,8559
868,2,8561
869,2,8584
870,2,8592
871,2,8608
872,2,8613
873,2,8637
874,2,8656
875,2,8661
876,2,8704
877,2,8711
878,2,8726
879,2,8727
880,2,8732
881,2,8735
882,2,8745
883,2,8748
884,2,8766
885,2,8769
886,2,8782
887,2,8792
888,2,8810
889,2,8814
890,2,8856
891,2,8864
892,2,8874
893,2,8879
894,2,8907
895,2,8914
896,2,8942
897,2,8952
898,2,8981
899,2,8990
900,2,8994
901,2,9015
902,2,9026
903,2,9032
904,2,9036
905,2,9037
906,2,9064
907,2,9066
908,2,9073
909,2,9111
910,2,9112
911,2,9120
912,2,9130
913,2,9174
914,2,9175
915,2,9185
916,2,9188
917,2,9200
918,2,9207
919,2,9213
920,2,9243
921,2,9248
922,2,9298
923,2,9308
924,2,9309
925,2,9320
926,2,9323
927,2,9343
928,2,9349
929,2,9360
930,2,9390
931,2,9417
932,2,9419
933,2,9435
934,2,9468
935,2,9470
936,2,9486
937,2,9508
938,2,9553
939,2,9556
940,2,9558
941,2,9657
942,2,9684
943,2,9690
944,2,9719
945,2,9754
946,2,9762
947,2,9776
948,2,9789
949,2,9797
950,2,9804
951,2,9836
952,2,9863
953,2,9875
954,2,9898
955,2,9911
956,2,9934
957,2,9941
958,2,9953
959,2,9992
960,2,9997
961,2,10019
962,2,10027
963,2,10078
964,2,10097
965,2,10103
966,2,10105
967,2,10111
968,2,10115
969,2,10130
970,2,10144
971,2,10150
972,2,10153
973,2,10169
974,2,10179
975,3,5
976,3,11
977,3,12
978,3,13
979,3,14
980,3,18
981,3,20
982,3,28
983,3,37
984,3,40
985,3,45
986,3,59
987,3,60
988,3,63
989,3,64
990,3,67
991,3,70
992,3,73
993,3,80
994,3,82
995,3,87
996,3,93
997,3,94
998,3,95
999,3,97
1000,3,98
1001,3,100
1002,3,101
1003,3,106
1004,3,107
1005,3,111
1006,3,112
1007,3,115
1008,3,126
1009,3,135
1010,3,141
1011,3,146
1012,3,149
1013,3,151
1014,3,153
1015,3,160
1016,3,162
1017,3,163
1018,3,164
1019,3,170
1020,3,172
1021,3,173
1022,3,178
1023,3,182
1024,3,184
1025,3,186
1026,3,189
1027,3,199
1028,3,200
1029,3,203
1030,3,206
1031,3,207
1032,3,208
1033,3,217
1034,3,220
1035,3,223
1036,3,225
1037,3,230
1038,3,231
1039,3,232
1040,3,237
1041,3,243
1042,3,244
1043,3,250
1044,3,253
1045,3,257
1046,3,262
1047,3,263
1048,3,265
1049,3,267
1050,3,270
1051,3,273
1052,3,276
1053,3,285
1054,3,301
1055,3,304
1056,3,306
1057,3,313
1058,3,321
1059,3,328
1060,3,335
1061,3,336
1062,3,340
1063,3,346
1064,3,356
1065,3,361
1066,3,370
1067,3,375
1068,3,383
1069,3,384
1070,3,386
1071,3,400
1072,3,401
1073,3,408
1074,3,418
1075,3,423
1076,3,424
1077,3,425
1078,3,433
1079,3,439
1080,3,444
1081,3,446
1082,3,449
1083,3,451
1084,3,452
1085,3,456
1086,3,478
1087,3,481
1088,3,489
1089,3,491
1090,3,494
1091,3,497
1092,3,501
1093,3,503
1094,3,506
1095,3,508
1096,3,510
1097,3,511
1098,3,524
1099,3,528
1100,3,530
1101,3,532
1102,3,534
1103,3,540
1104,3,542
1105,3,543
1106,3,549
1107,3,550
1108,3,552
1109,3,554
1110,3,555
1111,3,559
1112,3,574
1113,3,575
1114,3,579
1115,3,588
1116,3,595
1117,3,598
1118,3,600
1119,3,610
1120,3,623
1121,3,630
1122,3,634
1123,3,646
1124,3,647
1125,3,651
1126,3,654
1127,3,658
1128,3,659
1129,3,665
1130,3,668
1131,3,671
1132,3,673
1133,3,675
1134,3,679
1135,3,684
1136,3,689
1137,3,700
1138,3,707
1139,3,709
1140,3,711
1141,3,714
1142,3,719
1143,3,732
1144,3,740
1145,3,741
1146,3,743
1147,3,745
1148,3,747
1149,3,752
1150,3,761
1151,3,763
1152,3,765
1153,3,767
1154,3,768
1155,3,770
1156,3,771
1157,3,774
1158,3,777
1159,3,780
1160,3,782
1161,3,791
1162,3,793
1163,3,797
1164,3,801
1165,3,804
1166,3,806
1167,3,812
1168,3,814
1169,3,819
1170,3,822
1171,3,829
1172,3,830
1173,3,840
1174,3,844
1175,3,847
1176,3,852
1177,3,854
1178,3,856
1179,3,861
1180,3,866
1181,3,873
1182,3,878
1183,3,883
1184,3,885
1185,3,889
1186,3,890
1187,3,891
1188,3,893
1189,3,895
1190,3,901
1191,3,906
1192,3,909
1193,3,929
1194,3,932
1195,3,934
1196,3,937
1197,3,943
1198,3,945
1199,3,946
1200,3,950
1201,3,958
1202,3,968
1203,3,975
1204,3,988
1205,3,989
1206,3,992
1207,3,993
1208,3,999
1209,3,1000
1210,3,1007
1211,3,1022
1212,3,1023
1213,3,1032
1214,3,1036
1215,3,1038
1216,3,1043
1217,3,1048
1218,3,1052
1219,3,1056
1220,3,1057
1221,3,1058
1222,3,1062
1223,3,1065
1224,3,1075
1225,3,1080
1226,3,1086
1227,3,1088
1228,3,1092
1229,3,1099
1230,3,1100
1231,3,1104
1232,3,1112
1233,3,1119
1234,3,1122
1235,3,1131
1236,3,1134
1237,3,1142
1238,3,1144
1239,3,1148
1240,3,1151
1241,3,1152
1242,3,1161
1243,3,1167
1244,3,1168
1245,3,1172
1246,3,1173
1247,3,1175
1248,3,1176
1249,3,1181
1250,3,1185
1251,3,1188
1252,3,1191
1253,3,1199
1254,3,1200
1255,3,1204
1256,3,1208
1257,3,1209
1258,3,1217
1259,3,1220
1260,3,1230
1261,3,1233
1262,3,1234
1263,3,1248
1264,3,1249
1265,3,1250
1266,3,1253
1267,3,1255
1268,3,1260
1269,3,1262
1270,3,1263
1271,3,1265
1272,3,1267
1273,3,1268
1274,3,1272
1275,3,1279
1276,3,1282
1277,3,1283
1278,3,1285
1279,3,1291
1280,3,1296
1281,3,1297
1282,3,1298
1283,3,1302
1284,3,1303
1285,3,1314
1286,3,1317
1287,3,1320
1288,3,1321
1289,3,1322
1290,3,1323
1291,3,1324
1292,3,1326
1293,3,1327
1294,3,1329
1295,3,1331
1296,3,1334
1297,3,1338
1298,3,1342
1299,3,1345
